ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name
148,Zele,21125,184.0,33.06,639,97.8,Oost-Vlaanderen,51.0683621,4.0385864,"['51.032115', '51.1023619', '3.9718202', '4.0925235']",-,Zele,-,01.01.0001,31.12.9999,Zele
149,Kontich,21115,485.0,23.67,892,126.2,Antwerpen,51.134377,4.4456359,"['51.0930232', '51.1498225', '4.3964534', '4.486627']",-,Kontich,-,01.01.0001,31.12.9999,Kontich
150,Wuustwezel,20970,543.0,89.43,234,104.4,Antwerpen,51.38525,4.56517434504015,"['51.3375747', '51.4328485', '4.5063004', '4.6413243']",-,Wuustwezel,-,01.01.0001,31.12.9999,Wuustwezel
151,Colfontaine,20811,141.0,13.62,1528,72.3,Henegouwen,50.4056635,3.8513957999999997,"['50.3792096', '50.4346477', '3.8140558', '3.8718733']",Colfontaine,-,-,02.01.1977,31.12.9999,Colfontaine
152,Chaudfontaine,20800,401.0,25.52,815,129.3,Luik,50.5847922,5.6469688,"['50.5495905', '50.6148987', '5.5888879', '5.6807491']",Chaudfontaine,-,-,01.01.0001,31.12.9999,Chaudfontaine
153,Sint-Katelijne-Waver,20792,376.0,36.12,576,116.3,Antwerpen,51.06232435,4.511427814014691,"['51.0346518', '51.0897868', '4.462809', '4.5697592']",-,Sint-Katelijne-Waver,-,01.01.0001,31.12.9999,Sint-Katelijne-Waver
154,Dilsen-Stokkem,20590,466.0,65.61,314,93.0,Limburg,51.0284779,5.7311404999999995,"['50.9958517', '51.0823295', '5.6223653', '5.8011678']",-,Dilsen-Stokkem,-,28.07.1987,31.12.9999,Dilsen-Stokkem
155,Tielt,20502,120.0,68.5,299,102.2,West-Vlaanderen,51.0002939,3.3273362,"['50.9610745', '51.0538674', '3.28629', '3.4525562']",-,Tielt,-,01.01.0001,31.12.9999,Tielt
156,Torhout,20463,241.0,45.23,452,103.5,West-Vlaanderen,51.0585915,3.0913072045454504,"['51.013576', '51.103847', '3.0434739', '3.1579627']",-,Torhout,-,01.01.0001,31.12.9999,Torhout
157,Blankenberge,20436,713.0,17.41,1174,101.4,West-Vlaanderen,51.31651475,3.13225603143341,"['51.3062882', '51.3266288', '3.1071895', '3.1559711']",-,Blankenberge,-,01.01.0001,31.12.9999,Blankenberge
158,Denderleeuw,20338,497.0,13.77,1477,105.1,Oost-Vlaanderen,50.8834499,4.0816397,"['50.864534', '50.911647', '4.028659', '4.089654']",-,Denderleeuw,-,01.01.0001,31.12.9999,Denderleeuw
159,Kortenberg,20279,449.0,34.52,588,125.2,Vlaams-Brabant,50.8858727,4.5390678,"['50.8558486', '50.9348443', '4.5150533', '4.614674']",-,Kortenberg,-,01.01.0001,31.12.9999,Kortenberg
160,Boussu,19824,217.0,20.01,991,77.4,Henegouwen,50.43312529999999,3.7960902,"['50.3949879', '50.4525039', '3.7582568', '3.8435475']",Boussu,-,-,01.01.0001,31.12.9999,Boussu
