City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category,class1,class2
Assesse,My Burger,50.372648898819925,5.032271184605771,https://ss3.4sqi.net/img/categories_v2/food/streetfood_,Food Truck,food,food streetfood_
Nieuwerkerken,SPAR,50.86514027829684,5.194327775952706,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_
Nieuwerkerken,Brood & Banket Leslie,50.865235999999996,5.193341,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_
Nieuwerkerken,Kerkplein,50.8650619522899,5.194020247850184,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza,parks_outdoors,parks_outdoors plaza_
Nieuwerkerken,Cafetaria NWK,50.864638,5.193379,https://ss3.4sqi.net/img/categories_v2/education/cafeteria_,Cafeteria,education,education cafeteria_
Nieuwerkerken,Het Kostershuis,50.86424036529169,5.1933028327938064,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Pub,nightlife,nightlife pub_
Nieuwerkerken,Halte Nieuwerkerken Kerk,50.86512455746213,5.193588137626649,https://ss3.4sqi.net/img/categories_v2/travel/busstation_,Bus Stop,travel,travel busstation_
Nieuwerkerken,VV Nieuwerkerken,50.86640031578971,5.196219232992628,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_,Soccer Field,arts_entertainment,arts_entertainment stadium_soccer_
Nieuwerkerken,Frituur ‘t Dorp,50.86564719806262,5.193835941921402,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Friterie,food,food fastfood_
Nieuwerkerken,Frituur Centrum,50.86563282827018,5.193687919905281,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Friterie,food,food fastfood_
Nieuwerkerken,Frituur Patapata,50.8656874034818,5.193734171255022,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Friterie,food,food fastfood_
Nieuwerkerken,Ledoux,50.862268729621675,5.191879326684237,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_
Nieuwerkerken,lees smakelijk,50.866125021606855,5.193819363100719,https://ss3.4sqi.net/img/categories_v2/food/deli_,Sandwich Place,food,food deli_
Nieuwerkerken,Haarfijn Bij Joke,50.86616642030396,5.193771012058321,https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_,Health & Beauty Service,shops,shops salon_barber_
Nieuwerkerken,Delhaize nieuwerkerken,50.86418039206469,5.190639220849106,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_
Chièvres,Place de Chievres,50.587160362011616,3.8088655471801762,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza,parks_outdoors,parks_outdoors plaza_
Chièvres,Le Cervia,50.587395632783725,3.808612657032541,https://ss3.4sqi.net/img/categories_v2/food/default_,Restaurant,food,food default_
Chièvres,Au Comte d'Egmont,50.587303488425036,3.8084863286639417,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant,food,food default_
Chièvres,Marché dominical de Chièvres,50.58644043288327,3.8056084768184415,https://ss3.4sqi.net/img/categories_v2/shops/market_,Market,shops,shops market_
Chièvres,Pizzeria Saporita,50.588702165336144,3.815145843716095,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza Place,food,food pizza_
Itter,Brasserie des Artistes,50.64890012479592,4.263646841745417,https://ss3.4sqi.net/img/categories_v2/food/french_,French Restaurant,food,food french_
Itter,L'Atelier du Ry Ternel,50.647572035714504,4.2624484417984725,https://ss3.4sqi.net/img/categories_v2/food/french_,French Restaurant,food,food french_
Itter,Palais de Plume,50.65011092411498,4.262412090329666,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_theater_,Theater,arts_entertainment,arts_entertainment performingarts_theater_
Itter,La Brioche d'Or,50.64895389127275,4.264876036977332,https://ss3.4sqi.net/img/categories_v2/food/cupcakes_,Cupcake Shop,food,food cupcakes_
Itter,L'Estaminet,50.65014124249699,4.2634096134917785,https://ss3.4sqi.net/img/categories_v2/food/gastropub_,Gastropub,food,food gastropub_
Itter,Delitraiteur,50.64984988457414,4.265306477670561,https://ss3.4sqi.net/img/categories_v2/shops/foodanddrink_,Food & Drink Shop,shops,shops foodanddrink_
Itter,A Casa Vostra,50.63522319703642,4.253765888361181,https://ss3.4sqi.net/img/categories_v2/food/italian_,Italian Restaurant,food,food italian_
Itter,Le Relais du Marquis,50.6481,4.26273,https://ss3.4sqi.net/img/categories_v2/travel/hotel_,Hotel,travel,travel hotel_
