Frans,Nederlands,Duits,Begin,Einde
Clabecq,Klabbeek,-,01.01.0001,01.01.1977
Corbais,-,-,01.01.0001,02.01.1977
Corroy-le-Grand,-,-,01.01.0001,02.01.1977
Cortil-Noirmont,-,-,01.01.0001,02.01.1977
Court-Saint-Etienne,-,-,01.01.0001,31.12.9999
Couture-Saint-Germain,-,-,01.01.0001,03.01.1977
Dion-le-Mont,-,-,01.01.0001,02.01.1971
Dion-le-Val,-,-,01.01.0001,02.01.1971
Dongelberg,-,-,01.01.0001,03.01.1977
Enines,-,-,01.01.0001,04.01.1971
Folx-les-Caves,-,-,01.01.0001,04.01.1971
Geest-Gérompont-Petit-Rosière,-,-,01.01.0001,02.01.1971
Genappe,Genepiën,-,01.01.0001,31.12.9999
Gentinnes,-,-,01.01.0001,02.01.1977
Genval,-,-,01.01.0001,02.01.1977
Glabais,-,-,01.01.0001,02.01.1977
Glimes,-,-,01.01.0001,02.01.1977
Grand-Rosière-Hottomont,-,-,01.01.0001,02.01.1977
Grez-Doiceau,Graven,-,01.01.0001,31.12.9999
Hamme-Mille,-,-,01.01.0001,03.01.1977
Haut-Ittre,-,-,01.01.0001,03.01.1977
Hévillers,-,-,01.01.0001,02.01.1977
Houtain-le-Val,-,-,01.01.0001,02.01.1977
Huppaye,-,-,01.01.0001,02.01.1977
Incourt,-,-,01.01.0001,31.12.9999
Ittre,Itter,-,01.01.0001,31.12.9999
Jandrain-Jandrenouille,-,-,01.01.0001,01.01.1977
